"Ticker","Date/Time","close","percentgain","tomorrowgain","up_or_down"
"^GSPC",01/03/95,459.11,,0.3485,1
"^GSPC",01/04/95,460.71,0.3485,-0.0803,0
"^GSPC",01/05/95,460.34,-0.0803,0.0739,0
"^GSPC",01/06/95,460.68,0.0739,0.0326,0
"^GSPC",01/09/95,460.83,0.0326,0.1845,0
"^GSPC",01/10/95,461.68,0.1845,-0.0043,0
"^GSPC",01/11/95,461.66,-0.0043,-0.0043,0
"^GSPC",01/12/95,461.64,-0.0043,0.938,1
"^GSPC",01/13/95,465.97,0.938,0.7318,1
"^GSPC",01/16/95,469.38,0.7318,0.1427,0
"^GSPC",01/17/95,470.05,0.1427,-0.0723,0
"^GSPC",01/18/95,469.71,-0.0723,-0.5876,0
"^GSPC",01/19/95,466.95,-0.5876,-0.4647,0
"^GSPC",01/20/95,464.78,-0.4647,0.2238,0
"^GSPC",01/23/95,465.82,0.2238,0.0086,0
"^GSPC",01/24/95,465.86,0.0086,0.3392,1
"^GSPC",01/25/95,467.44,0.3392,0.1883,0
"^GSPC",01/26/95,468.32,0.1883,0.442,1
"^GSPC",01/27/95,470.39,0.442,-0.3997,0
"^GSPC",01/30/95,468.51,-0.3997,0.4077,1
"^GSPC",01/31/95,470.42,0.4077,-0.0043,0
"^GSPC",02/01/95,470.4,-0.0043,0.5081,1
"^GSPC",02/02/95,472.79,0.5081,1.2394,1
"^GSPC",02/03/95,478.65,1.2394,0.5202,1
"^GSPC",02/06/95,481.14,0.5202,-0.0686,0
"^GSPC",02/07/95,480.81,-0.0686,0.079,0
"^GSPC",02/08/95,481.19,0.079,-0.2078,0
"^GSPC",02/09/95,480.19,-0.2078,0.2645,0
"^GSPC",02/10/95,481.46,0.2645,0.0395,0
"^GSPC",02/13/95,481.65,0.0395,0.1869,0
"^GSPC",02/14/95,482.55,0.1869,0.4124,1
"^GSPC",02/15/95,484.54,0.4124,0.1403,0
"^GSPC",02/16/95,485.22,0.1403,-0.6698,0
"^GSPC",02/17/95,481.97,-0.6698,0.1556,0
"^GSPC",02/21/95,482.72,0.1556,0.4868,1
"^GSPC",02/22/95,485.07,0.4868,0.3793,1
"^GSPC",02/23/95,486.91,0.3793,0.2464,0
"^GSPC",02/24/95,488.11,0.2464,-0.8809,0
"^GSPC",02/27/95,483.81,-0.8809,0.74,1
"^GSPC",02/28/95,487.39,0.74,-0.357,0
"^GSPC",03/01/95,485.65,-0.357,-0.1071,0
"^GSPC",03/02/95,485.13,-0.1071,0.0598,0
"^GSPC",03/03/95,485.42,0.0598,0.0433,0
"^GSPC",03/06/95,485.63,0.0433,-0.7228,0
"^GSPC",03/07/95,482.12,-0.7228,0.2116,0
"^GSPC",03/08/95,483.14,0.2116,0.0041,0
"^GSPC",03/09/95,483.16,0.0041,1.3267,1
"^GSPC",03/10/95,489.57,1.3267,0.098,0
"^GSPC",03/13/95,490.05,0.098,0.5795,1
"^GSPC",03/14/95,492.89,0.5795,-0.2049,0
"^GSPC",03/15/95,491.88,-0.2049,0.7177,1
"^GSPC",03/16/95,495.41,0.7177,0.0222,0
"^GSPC",03/17/95,495.52,0.0222,0.1251,0
"^GSPC",03/20/95,496.14,0.1251,-0.2157,0
"^GSPC",03/21/95,495.07,-0.2157,0.1212,0
"^GSPC",03/22/95,495.67,0.1212,0.0565,0
"^GSPC",03/23/95,495.95,0.0565,1.0122,1
"^GSPC",03/24/95,500.97,1.0122,0.4451,1
"^GSPC",03/27/95,503.2,0.4451,0.1391,0
"^GSPC",03/28/95,503.9,0.1391,-0.1548,0
"^GSPC",03/29/95,503.12,-0.1548,-0.1789,0
"^GSPC",03/30/95,502.22,-0.1789,-0.3007,0
"^GSPC",03/31/95,500.71,-0.3007,0.2277,0
"^GSPC",04/03/95,501.85,0.2277,0.6755,1
"^GSPC",04/04/95,505.24,0.6755,0.0653,0
"^GSPC",04/05/95,505.57,0.0653,0.1009,0
"^GSPC",04/06/95,506.08,0.1009,0.0672,0
"^GSPC",04/07/95,506.42,0.0672,0.1165,0
"^GSPC",04/10/95,507.01,0.1165,-0.2919,0
"^GSPC",04/11/95,505.53,-0.2919,0.3244,1
"^GSPC",04/12/95,507.17,0.3244,0.4062,1
"^GSPC",04/13/95,509.23,0.4062,-0.6088,0
"^GSPC",04/17/95,506.13,-0.6088,-0.1502,0
"^GSPC",04/18/95,505.37,-0.1502,-0.089,0
"^GSPC",04/19/95,504.92,-0.089,0.0733,0
"^GSPC",04/20/95,505.29,0.0733,0.6333,1
"^GSPC",04/21/95,508.49,0.6333,0.8653,1
"^GSPC",04/24/95,512.89,0.8653,-0.154,0
"^GSPC",04/25/95,512.1,-0.154,0.1094,0
"^GSPC",04/26/95,512.66,0.1094,0.1736,0
"^GSPC",04/27/95,513.55,0.1736,0.2259,0
"^GSPC",04/28/95,514.71,0.2259,-0.0874,0
"^GSPC",05/01/95,514.26,-0.0874,0.1167,0
"^GSPC",05/02/95,514.86,0.1167,1.0916,1
"^GSPC",05/03/95,520.48,1.0916,0.0115,0
"^GSPC",05/04/95,520.54,0.0115,-0.0807,0
"^GSPC",05/05/95,520.12,-0.0807,0.7383,1
"^GSPC",05/08/95,523.96,0.7383,-0.0763,0
"^GSPC",05/09/95,523.56,-0.0763,0.1528,0
"^GSPC",05/10/95,524.36,0.1528,0.0019,0
"^GSPC",05/11/95,524.37,0.0019,0.225,0
"^GSPC",05/12/95,525.55,0.225,0.4167,1
"^GSPC",05/15/95,527.74,0.4167,0.0853,0
"^GSPC",05/16/95,528.19,0.0853,-0.212,0
"^GSPC",05/17/95,527.07,-0.212,-1.4211,0
"^GSPC",05/18/95,519.58,-1.4211,-0.0751,0
"^GSPC",05/19/95,519.19,-0.0751,0.859,1
"^GSPC",05/22/95,523.65,0.859,0.9434,1
"^GSPC",05/23/95,528.59,0.9434,0.0038,0
"^GSPC",05/24/95,528.61,0.0038,-0.0038,0
"^GSPC",05/25/95,528.59,-0.0038,-0.9346,0
"^GSPC",05/26/95,523.65,-0.9346,-0.0134,0
"^GSPC",05/30/95,523.58,-0.0134,1.8756,1
"^GSPC",05/31/95,533.4,1.8756,0.0169,0
"^GSPC",06/01/95,533.49,0.0169,-0.1837,0
"^GSPC",06/02/95,532.51,-0.1837,0.5803,1
"^GSPC",06/05/95,535.6,0.5803,-0.0093,0
"^GSPC",06/06/95,535.55,-0.0093,-0.4519,0
"^GSPC",06/07/95,533.13,-0.4519,-0.1463,0
"^GSPC",06/08/95,532.35,-0.1463,-0.8284,0
"^GSPC",06/09/95,527.94,-0.8284,0.5569,1
"^GSPC",06/12/95,530.88,0.5569,0.9739,1
"^GSPC",06/13/95,536.05,0.9739,0.0783,0
"^GSPC",06/14/95,536.47,0.0783,0.1212,0
"^GSPC",06/15/95,537.12,0.1212,0.5045,1
"^GSPC",06/16/95,539.83,0.5045,0.9985,1
"^GSPC",06/19/95,545.22,0.9985,-0.044,0
"^GSPC",06/20/95,544.98,-0.044,-0.1835,0
"^GSPC",06/21/95,543.98,-0.1835,1.3034,1
"^GSPC",06/22/95,551.07,1.3034,-0.2468,0
"^GSPC",06/23/95,549.71,-0.2468,-1.0151,0
"^GSPC",06/26/95,544.13,-1.0151,-0.3124,0
"^GSPC",06/27/95,542.43,-0.3124,0.424,1
"^GSPC",06/28/95,544.73,0.424,-0.1579,0
"^GSPC",06/29/95,543.87,-0.1579,0.1618,0
"^GSPC",06/30/95,544.75,0.1618,0.4296,1
"^GSPC",07/03/95,547.09,0.4296,0.0311,0
"^GSPC",07/05/95,547.26,0.0311,1.2298,1
"^GSPC",07/06/95,553.99,1.2298,0.4296,1
"^GSPC",07/07/95,556.37,0.4296,0.1474,0
"^GSPC",07/10/95,557.19,0.1474,-0.4325,0
"^GSPC",07/11/95,554.78,-0.4325,1.1013,1
"^GSPC",07/12/95,560.89,1.1013,0.0196,0
"^GSPC",07/13/95,561,0.0196,-0.1979,0
"^GSPC",07/14/95,559.89,-0.1979,0.5054,1
"^GSPC",07/17/95,562.72,0.5054,-0.757,0
"^GSPC",07/18/95,558.46,-0.757,-1.3394,0
"^GSPC",07/19/95,550.98,-1.3394,0.4646,1
"^GSPC",07/20/95,553.54,0.4646,0.0145,0
"^GSPC",07/21/95,553.62,0.0145,0.5437,1
"^GSPC",07/24/95,556.63,0.5437,0.803,1
"^GSPC",07/25/95,561.1,0.803,0.0909,0
"^GSPC",07/26/95,561.61,0.0909,0.6428,1
"^GSPC",07/27/95,565.22,0.6428,-0.4051,0
"^GSPC",07/28/95,562.93,-0.4051,-0.1545,0
"^GSPC",07/31/95,562.06,-0.1545,-0.4306,0
"^GSPC",08/01/95,559.64,-0.4306,-0.1501,0
"^GSPC",08/02/95,558.8,-0.1501,-0.0089,0
"^GSPC",08/03/95,558.75,-0.0089,0.034,0
"^GSPC",08/04/95,558.94,0.034,0.195,0
"^GSPC",08/07/95,560.03,0.195,0.0643,0
"^GSPC",08/08/95,560.39,0.0643,-0.1213,0
"^GSPC",08/09/95,559.71,-0.1213,-0.4038,0
"^GSPC",08/10/95,557.45,-0.4038,-0.4198,0
"^GSPC",08/11/95,555.11,-0.4198,0.8341,1
"^GSPC",08/14/95,559.74,0.8341,-0.209,0
"^GSPC",08/15/95,558.57,-0.209,0.2506,0
"^GSPC",08/16/95,559.97,0.2506,-0.1661,0
"^GSPC",08/17/95,559.04,-0.1661,0.0304,0
"^GSPC",08/18/95,559.21,0.0304,-0.1967,0
"^GSPC",08/21/95,558.11,-0.1967,0.2526,0
"^GSPC",08/22/95,559.52,0.2526,-0.4254,0
"^GSPC",08/23/95,557.14,-0.4254,0.0574,0
"^GSPC",08/24/95,557.46,0.0574,0.4736,1
"^GSPC",08/25/95,560.1,0.4736,-0.1875,0
"^GSPC",08/28/95,559.05,-0.1875,0.1699,0
"^GSPC",08/29/95,560,0.1699,0.1643,0
"^GSPC",08/30/95,560.92,0.1643,0.1712,0
"^GSPC",08/31/95,561.88,0.1712,0.3488,1
"^GSPC",09/01/95,563.84,0.3488,0.9453,1
"^GSPC",09/05/95,569.17,0.9453,0.1757,0
"^GSPC",09/06/95,570.17,0.1757,0.021,0
"^GSPC",09/07/95,570.29,0.021,0.4191,1
"^GSPC",09/08/95,572.68,0.4191,0.2148,0
"^GSPC",09/11/95,573.91,0.2148,0.453,1
"^GSPC",09/12/95,576.51,0.453,0.392,1
"^GSPC",09/13/95,578.77,0.392,0.8363,1
"^GSPC",09/14/95,583.61,0.8363,-0.0446,0
"^GSPC",09/15/95,583.35,-0.0446,-0.0994,0
"^GSPC",09/18/95,582.77,-0.0994,0.2454,0
"^GSPC",09/19/95,584.2,0.2454,0.4399,1
"^GSPC",09/20/95,586.77,0.4399,-0.6425,0
"^GSPC",09/21/95,583,-0.6425,-0.2178,0
"^GSPC",09/22/95,581.73,-0.2178,0.0138,0
"^GSPC",09/25/95,581.81,0.0138,-0.0688,0
"^GSPC",09/26/95,581.41,-0.0688,-0.0636,0
"^GSPC",09/27/95,581.04,-0.0636,0.8313,1
"^GSPC",09/28/95,585.87,0.8313,-0.2492,0
"^GSPC",09/29/95,584.41,-0.2492,-0.4603,0
"^GSPC",10/02/95,581.72,-0.4603,0.1066,0
"^GSPC",10/03/95,582.34,0.1066,-0.1494,0
"^GSPC",10/04/95,581.47,-0.1494,0.1995,0
"^GSPC",10/05/95,582.63,0.1995,-0.024,0
"^GSPC",10/06/95,582.49,-0.024,-0.7073,0
"^GSPC",10/09/95,578.37,-0.7073,-0.147,0
"^GSPC",10/10/95,577.52,-0.147,0.3359,1
"^GSPC",10/11/95,579.46,0.3359,0.6282,1
"^GSPC",10/12/95,583.1,0.6282,0.2401,0
"^GSPC",10/13/95,584.5,0.2401,-0.2515,0
"^GSPC",10/16/95,583.03,-0.2515,0.6432,1
"^GSPC",10/17/95,586.78,0.6432,0.1125,0
"^GSPC",10/18/95,587.44,0.1125,0.5464,1
"^GSPC",10/19/95,590.65,0.5464,-0.5401,0
"^GSPC",10/20/95,587.46,-0.5401,-0.4085,0
"^GSPC",10/23/95,585.06,-0.4085,0.253,0
"^GSPC",10/24/95,586.54,0.253,-0.6939,0
"^GSPC",10/25/95,582.47,-0.6939,-0.9872,0
"^GSPC",10/26/95,576.72,-0.9872,0.5167,1
"^GSPC",10/27/95,579.7,0.5167,0.6124,1
"^GSPC",10/30/95,583.25,0.6124,-0.3,0
"^GSPC",10/31/95,581.5,-0.3,0.4678,1
"^GSPC",11/01/95,584.22,0.4678,0.9414,1
"^GSPC",11/02/95,589.72,0.9414,0.1441,0
"^GSPC",11/03/95,590.57,0.1441,-0.3573,0
"^GSPC",11/06/95,588.46,-0.3573,-0.3637,0
"^GSPC",11/07/95,586.32,-0.3637,0.9193,1
"^GSPC",11/08/95,591.71,0.9193,0.262,0
"^GSPC",11/09/95,593.26,0.262,-0.091,0
"^GSPC",11/10/95,592.72,-0.091,-0.0709,0
"^GSPC",11/13/95,592.3,-0.0709,-0.5082,0
"^GSPC",11/14/95,589.29,-0.5082,0.7925,1
